File Name,A_precision,A_recall,A_f1-score,A_Jaccard Index,A_accuracy,A_FDR,B_precision,B_recall,B_f1-score,B_Jaccard Index,B_accuracy,B_FDR,No. Interictal Events,No. Ictal Events,SNR,RMS,Kurtosis,Skewness,MAD,Peak-to-Peak,Entropy,PSD,Session,Detector,Precision_Category,Quality Features
20170420_slice01_01_CTRL1_0006_43,1.0,1.0,1.0,1.0,1.0,0.0,0.774,0.889,0.828,0.706,0.706,0.226,32,8,22.244984058687,139.0324305330137,19.1267837937977,2.928163470730036,60.98759713515184,2379,0.1662878789954082,11.54849465958681,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_44,1.0,1.0,1.0,1.0,1.0,0.0,0.812,0.929,0.867,0.765,0.765,0.188,34,8,20.4124555596069,110.7458085920434,15.6801061112692,2.495212264312362,51.84970533552143,1930,0.201224303688156,6.790371893675847,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_62,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.333,0.333,0.5,22,8,10.48781613410085,40.87209791776624,45.35918624785326,-5.065629767584562,23.52728840947357,865,0.3916252449343546,1.581516962837557,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170420_slice01_01_CTRL1_0006_33,1.0,0.889,0.941,0.889,0.889,0.0,0.609,0.438,0.509,0.341,0.341,0.391,35,9,14.8274874388962,59.49845609526626,26.31295280543608,2.89876353588954,31.47242387571506,1234,0.2924987240893656,1.716904305945141,20170420,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_85,1.0,1.0,1.0,1.0,1.0,0.0,0.36,0.6,0.45,0.29,0.29,0.64,15,4,20.20203330477521,41.87893021688963,77.536366241966,4.262187173946995,15.99034729125002,1312,0.2383148671681861,0.9925321636371981,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_66,1.0,1.0,1.0,1.0,1.0,0.0,0.433,0.929,0.591,0.419,0.419,0.567,14,4,19.46968896740804,41.8585919926974,62.81396238314733,4.777743801342913,16.97296670732531,941,0.3316981708412949,0.9091137809088897,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_54,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.5,0.333,0.2,0.2,0.75,10,4,17.66402482022607,27.39419852916956,106.877623712677,5.99762527670016,11.4782550202963,982,0.2986805994133995,0.5193821000045858,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_82,1.0,1.0,1.0,1.0,1.0,0.0,0.444,0.615,0.516,0.348,0.348,0.556,13,4,10.0558127205457,14.64970670923711,50.53163030108799,-2.756703672988131,9.259675735518215,619,0.450607509537758,0.1931901430199509,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_86,1.0,1.0,1.0,1.0,1.0,0.0,0.36,0.6,0.45,0.29,0.29,0.64,15,4,20.57828661104825,42.72714609394516,72.98840824302142,4.87377133401332,16.17018841345678,1266,0.2468761639646193,1.127318488284808,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_53,1.0,1.0,1.0,1.0,1.0,0.0,0.31,0.9,0.462,0.3,0.3,0.69,10,4,17.7520018126395,28.05940457810496,72.70873098604301,3.197855868982143,12.0014711145523,1064,0.2788748825028531,0.4106496602910208,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
